카테고리,지점명,등급별 혜택
편의점,세븐일레븐,VG 10% S 5%
편의점,cu,VG 10% S 5%
카페&베이커리,파리바게뜨,VG 10% S 5%
카페&베이커리,뚜레쥬르,VG 15% S 5%
카페&베이커리,파리크라상,VG 10% S5%
카페&베이커리,열린베이커리,VGS 10%
카페&베이커리,씨튼베이커리,VGS 20%
카페&베이커리,폴바셋 ,VGS 10%
카페&베이커리,공차 ,VGS 11%
카페&베이커리,배스킨라빈스 ,V 50% GS 30%
카페&베이커리,엔제리너스,VG 20% S 15%
카페&베이커리,드롭탑,VGS 10%
카페&베이커리,던킨,VG 15% S 5%
카페&베이커리,나뚜루&나뚜루시그니처,VG 10% S 5%
카페&베이커리,미스터힐링,VGS 15%
카페&베이커리,아름다운 커피,VGS 20%
식사,아웃백 스테이크 하우스,VG 15% S 5%
식사,롯데리아,VG 15% S 5%
식사,VIPS,VG 15% S 5%
식사,워커힐호텔앤리조트 ,VG 10% S 5%
식사,더예약 ,V 10%
식사,마티나 라운지 ,V 30% GS 20%
식사,도미노피자,V 30% GS 20%
식사,피자헛,V 30% GS 20%
식사,파파존스피자,V 30% GS 15%
