통신사,카테고리,지점명,등급,할인율,비고,,,,
SKT,편의점,세븐일레븐,VIP,10%,,,,,
SKT,편의점,세븐일레븐,GOLD,10%,,,,,
SKT,편의점,세븐일레븐,SILVER,5%,,,,,
SKT,편의점,cu,VIP,10%,,,,,
SKT,편의점,cu,GOLD,10%,,,,,
SKT,편의점,cu,SILVER,5%,,,,,
SKT,카페&베이커리,파리바게뜨,VIP,10%,,,,,
SKT,카페&베이커리,파리바게뜨,GOLD,10%,,,,,
SKT,카페&베이커리,파리바게뜨,SILVER,5%,,,,,
SKT,카페&베이커리,뚜레쥬르,VIP,15%,,,,,
SKT,카페&베이커리,뚜레쥬르,GOLD,15%,,,,,
SKT,카페&베이커리,뚜레쥬르,SILVER,5%,,,,,
SKT,카페&베이커리,파리크라상,VIP,10%,,,,,
SKT,카페&베이커리,파리크라상,GOLD,10%,,,,,
SKT,카페&베이커리,파리크라상,SILVER,5%,,,,,
SKT,카페&베이커리,열린베이커리,VIP,10%,,,,,
SKT,카페&베이커리,열린베이커리,GOLD,10%,,,,,
SKT,카페&베이커리,열린베이커리,SILVER,10%,,,,,
SKT,카페&베이커리,씨튼베이커리,VIP,20%,,,,,
SKT,카페&베이커리,씨튼베이커리,GOLD,20%,,,,,
SKT,카페&베이커리,씨튼베이커리,SILVER,20%,,,,,
SKT,카페&베이커리,폴바셋 ,VIP,10%,,,,,
SKT,카페&베이커리,폴바셋 ,GOLD,10%,,,,,
SKT,카페&베이커리,폴바셋 ,SILVER,10%,,,,,
SKT,카페&베이커리,공차 ,VIP,10%,,,,,
SKT,카페&베이커리,공차 ,GOLD,10%,,,,,
SKT,카페&베이커리,공차 ,SILVER,10%,,,,,
SKT,카페&베이커리,배스킨라빈스 ,VIP,50%,,,,,
SKT,카페&베이커리,배스킨라빈스 ,GOLD,30%,,,,,
SKT,카페&베이커리,배스킨라빈스 ,SILVER,30%,,,,,
SKT,카페&베이커리,엔제리너스,VIP,20%,,,,,
SKT,카페&베이커리,엔제리너스,GOLD,20%,,,,,
SKT,카페&베이커리,엔제리너스,SILVER,15%,,,,,
SKT,카페&베이커리,드롭탑,VIP,10%,,,,,
SKT,카페&베이커리,드롭탑,GOLD,10%,,,,,
SKT,카페&베이커리,드롭탑,SILVER,10%,,,,,
SKT,카페&베이커리,던킨,VIP,15%,,,,,
SKT,카페&베이커리,던킨,GOLD,15%,,,,,
SKT,카페&베이커리,던킨,SILVER,5%,,,,,
SKT,카페&베이커리,나뚜루&나뚜루시그니처,VIP,10%,,,,,
SKT,카페&베이커리,나뚜루&나뚜루시그니처,GOLD,10%,,,,,
SKT,카페&베이커리,나뚜루&나뚜루시그니처,SILVER,5%,,,,,
SKT,카페&베이커리,미스터힐링,VIP,15%,,,,,
SKT,카페&베이커리,미스터힐링,GOLD,15%,,,,,
SKT,카페&베이커리,미스터힐링,SILVER,15%,,,,,
SKT,카페&베이커리,아름다운 커피,VIP,20%,,,,,
SKT,카페&베이커리,아름다운 커피,GOLD,20%,,,,,
SKT,카페&베이커리,아름다운 커피,SILVER,20%,,,,,
SKT,식사,아웃백 스테이크 하우스,VIP,15%,,,,,
SKT,식사,아웃백 스테이크 하우스,GOLD,15%,,,,,
SKT,식사,아웃백 스테이크 하우스,SILVER,5%,,,,,
SKT,식사,롯데리아,VIP,15%,,,,,
SKT,식사,롯데리아,GOLD,15%,,,,,
SKT,식사,롯데리아,SILVER,5%,,,,,
SKT,식사,VIPS,VIP,15%,,,,,
SKT,식사,VIPS,GOLD,15%,,,,,
SKT,식사,VIPS,SILVER,5%,,,,,
SKT,식사,워커힐호텔앤리조트 ,VIP,10%,,,,,
SKT,식사,워커힐호텔앤리조트 ,GOLD,10%,,,,,
SKT,식사,워커힐호텔앤리조트 ,SILVER,5%,,,,,
SKT,식사,더예약 ,VIP,10%,,,,,
SKT,식사,더예약 ,GOLD,,,,,,
SKT,식사,더예약 ,SILVER,,,,,,
SKT,식사,마티나 라운지 ,VIP,30%,,,,,
SKT,식사,마티나 라운지 ,GOLD,20%,,,,,
SKT,식사,마티나 라운지 ,SILVER,20%,,,,,
SKT,식사,도미노피자,VIP,30%,,,,,
SKT,식사,도미노피자,GOLD,20%,,,,,
SKT,식사,도미노피자,SILVER,20%,,,,,
SKT,식사,피자헛,VIP,30%,,,,,
SKT,식사,피자헛,GOLD,20%,,,,,
SKT,식사,피자헛,SILVER,20%,,,,,
SKT,식사,파파존스피자,VIP,30%,,,,,
SKT,식사,파파존스피자,GOLD,15%,,,,,
SKT,식사,파파존스피자,SILVER,15%,,,,,
